1,jypestraykids,Stray Kids,138M,64M,23M,502K,342K
2,khabylame,Khabane lame,1492M,173M,23M,152K,87K
3,scarlettsspam2,scarlett,21M,179M,8458K,539K,63K
4,addisonre,Addison Rae,887M,22M,9066K,76K,262K
5,belindatok,Belinda,48M,142M,15M,145K,153K
6,onwardwanna,WannaðŸŠ,75M,12M,2M,204K,42K
7,therock,The Rock,554M,131M,15M,143K,119K
8,bizarrap,bzrp,58M,162M,27M,42K,69K
9,landonbarkerr,Landon Barker,38M,117M,12M,191K,152K
10,mrbeast,MrBeast,422M,13M,17M,172K,21K
11,charlidamelio,charli dâamelio,1462M,152M,9594K,208K,46K
12,amauryguichon,Amaury Guichon,145M,114M,15M,72K,118K
13,jetbentlee,Jet,39M,124M,22M,36K,66K
14,kervodolo,Kervodolo,103M,57M,13M,79K,276K
15,ttdramanews,TT Drama Layla,8563K,61M,11M,166K,177K
16,mishayoung,ÐœÐÑˆÐ ÐÐÑÐÐÐµÑÐºÐÐ ðŸºðŸ,4M,108M,680K,57K,225K
17,domelipa,domelipa,581M,104M,15M,91K,35K
18,kyliejenner,Kylie Jenner,47M,123M,19M,55K,26K
19,enhypen,enhypen,127M,43M,11M,248K,143K
20,kimberlyloaiza,Kimberly Loaiza,672M,88M,12M,121K,43K
21,ramonvitor,ramonvitor,87M,93M,19M,73K,24K
22,txtbighitent,TOMORROW X TOGETHER,181M,38M,11M,274K,95K
23,emraynea,emraynea,11M,51M,14M,66K,135K
24,bp_tiktok,blackpinkofficial,312M,45M,8396K,139K,222K
25,mtarekofficial3,Mohamed Tarek  ÙØÙØ ØØØÙ,13M,47M,8642K,219K,8K
26,zeth,Zeth,13M,85M,17M,22K,62K
27,kurtsworld,Kurt Kunkle,13M,49M,6859K,301K,33K
28,joshtgodfrey,Josh Godfrey,2855K,64M,5876K,128K,163K
29,justinflom,JustinFlom,61M,129M,7892K,45K,62K
30,williesalim,WILLIE SALIM,155M,81M,5892K,174K,54K
31,rosalia,La Rosalia,255M,142M,12M,33K,26K
32,birovr,Biro,3M,64M,7609K,61K,143K
33,kietacquy,Kiát áºk Wá,33M,52M,8422K,123K,85K
34,threedotcorey,corey,49M,63M,14M,29K,71K
35,iamferv,Fernanda,315M,66M,9623K,10K,39K
36,winnermaxyt,WinnerMax,45M,138M,1M,18K,45K
37,devankey,Devan Key,8M,69M,9762K,86K,37K
38,yunggravy,Yung Gravy ðŸ,66M,95M,14M,35K,27K
39,siscakohl,Sisca Kohl,124M,92M,11M,62K,18K
40,lexibrookerivera,Lexi Rivera,232M,75M,9925K,85K,18K
41,leith1423,Leithal,11M,79M,13M,38K,32K
42,imeyhou,Meyden,3M,9M,7995K,8K,16K
43,bblek,bblek,26M,8M,6167K,64K,74K
44,mcpedrinhoofc,Mc Pedrinho,5M,82M,12M,5K,2K
45,jennmelon,Jenn Melon,22M,55M,14M,38K,49K
46,nilered,NileRed,103M,6M,1M,44K,63K
47,zhangxi_acupuntura,doctor Zhang Xi,29M,7M,3785K,15K,225K
48,pongamoslo_a_prueba,PongÃmoslo a Prueba,367M,93M,16M,23K,2K
49,itsmacdoogle,ItsMacDoogle,18M,39M,6859K,101K,13K
50,jesusnalgas,jesus_nalgas,26M,5M,9701K,6K,6K
51,notemmamarie,Em,4939K,44M,7752K,91K,67K
52,daniellabelle,Daniel LaBelle,27M,52M,8168K,38K,84K
53,conangray,conangray,64M,39M,11M,7K,49K
54,spencer_serafica,Xspencer,136M,52M,9243K,59K,4K
55,musikyotogsj,ãããããâMovie,12M,43M,192K,18K,559K
56,ryanbakery,ððððððð ðšðð,29M,54M,5482K,78K,77K
57,soyminisech,ðŸðŸSECHITOðŸðŸ,12M,65M,6034K,2K,95K
58,katyaross,Katya Ross,2933K,28M,6653K,57K,181K
59,vinnyguadagnino,vinnyguadagnino,31M,51M,6293K,59K,72K
60,lelepons,Lele Pons,279M,122M,1M,15K,17K
61,mattsturniolo,Matt,32M,32M,812K,109K,46K
62,rayssabuq,Rayssa Buq,72M,43M,7753K,79K,41K
