row-cell,Tiktoker name,Tiktok name,"
Followers",Views (Avg.),Likes (Avg.),Comments (Avg.),Shares (Avg.)
0,0,0,0,0,0,0,0
1,0,0,145600,26800000,2200000,30100,71200
2,0,0,55600000,38100000,3800000,19000,7800
3,0,0,5400000,16600000.000000002,2000000,10900,12500
4,0,0,27900000,11800000,1700000,6900,29300
5,0,0,8199999.999999999,19200000,1700000,7400,9500
6,0,0,24300000,16900000,952900,5600,27300
7,0,0,19100000,9200000,2200000,11100,9300
8,0,0,17600000,12400000,2000000,5800,11300
9,0,0,8000000,14200000,1500000,5400,13300
10,0,0,9200000,6400000,1300000,6300,39500
11,0,0,1900000,11600000,1500000,8800,11400
12,0,0,18400000,8000000,1600000,15900,10600
13,0,0,49100000,14500000,2500000,5500,3400
14,0,0,4600000,4099999.9999999995,1200000,31600,23700
15,0,0,18500000,4300000,1500000,29000,11200
16,0,0,152000000,15000000,1800000,6500,3200
17,0,0,5100000,4200000,897300,7700,39600
18,0,0,1300000,8199999.999999999,1400000,12000,2900
19,0,0,15300000,6000000,843100,21300,10600
20,0,0,32900000,8600000,1300000,7700,4500
21,0,0,145900,8100000,1200000,4000,9900
22,0,0,5400000,7600000,559200,18400,12500
23,0,0,8300000.000000001,6700000,1300000,9900,3100
24,0,0,6700000,7300000,1200000,3400,9000
25,0,0,427000,4600000,1000000,5800,15400
26,0,0,60500000,9100000,1200000,6000,2700
27,0,0,9100000,7100000,1200000,7400,3300
28,0,0,8100000,6800000,1400000,5000,3400
29,0,0,8900000,5300000,874200,14600,2400
30,0,0,2900000,6700000,1100000,6200,3600
31,0,0,3100000,17200000,961300,2600,1700
32,0,0,7300000,5900000,317400,15300,22200
33,0,0,148400000,8600000,641900,9700,2500
34,0,0,613900,4300000,991300,6800,8900
35,0,0,63200000,6400000,689800,10800,4100
36,0,0,5400000,9000000,694400,2100,6900
37,0,0,69300000,7700000,868000,6200,1900
38,0,0,44200000,6300000,1100000,4600,2900
39,0,0,20600000,8500000,1000000,3700,2400
40,0,0,2000000,3200000,409000,5100,31300
41,0,0,26300000,7400000,1200000,3200,2000
42,0,0,8900000,6100000,764300,3300,6600
43,0,0,24500000,6900000,815100,1600,6600
44,0,0,5400000,6800000,1200000,3700,1700
45,0,0,5000000,4800000,920900,2900,6400
46,0,0,156300,5800000,279100,1700,21800
47,0,0,24400000,6300000,993400,4500,1600
